Feature,Coefficient,Abs_Coefficient
RatingPct_5star,-0.2081304225470343,0.2081304225470343
Bedrooms,0.19993513284247968,0.19993513284247968
RatingPct_4star,-0.1840793528483129,0.1840793528483129
IsHomeOrServicedApartment_1,0.15300803594839865,0.15300803594839865
Suburb_Missing,-0.11240966020735893,0.11240966020735893
RatingPct_3star,-0.1084499114123337,0.1084499114123337
RatingPct_1star,-0.08884531545586281,0.08884531545586281
Suburb_South Philadelphia,-0.07905367679412863,0.07905367679412863
ValueRating,-0.07676464202362979,0.07676464202362979
SpaceType_Clean_Entire rental unit,-0.07284368579776034,0.07284368579776034
Suburb_North Philadelphia,-0.07060084319250383,0.07060084319250383
SpaceType_Clean_Private room in home,-0.07006668774815385,0.07006668774815385
RoomType_Clean_Shared Room,-0.06873562936582243,0.06873562936582243
PersonCapacity,0.06720889805061901,0.06720889805061901
RatingPct_2star,-0.060573033698822526,0.060573033698822526
